# n_data=425491,n_mc=887486
bin_low,bin_high,data,data_err,mc_detector,mc_hadron,ratio
0.3800,0.3850,0.0164516,0.00278082,0.0166763,0.0141974,0.986526
0.3850,0.3900,0.00799077,0.00193805,0.0114931,0.0117185,0.695267
0.3900,0.3950,0.00752072,0.00188018,0.00969029,0.00743675,0.776109
0.3950,0.4000,0.00846081,0.00199423,0.00833816,0.00743675,1.01471
0.4000,0.4050,0.00846081,0.00199423,0.00743674,0.00518319,1.1377
0.4050,0.4100,0.0051705,0.00155896,0.00473247,0.00653532,1.09256
0.4100,0.4150,0.00376036,0.00132949,0.00292962,0.00360569,1.28357
0.4150,0.4200,0.00094009,0.000664744,0.0020282,0.0020282,0.46351
0.4200,0.4250,0.00235023,0.00105105,0.00180285,0.00112678,1.30362
0.4250,0.4300,0.000470045,0.000470045,0.00135213,0.00157749,0.347633
0.4300,0.4350,0.00094009,0.000664744,0.000450711,0.000225356,2.08579
0.4350,0.4400,0.000470045,0.000470045,0.000901423,0.000450712,0.521448
0.4400,0.4450,0,0,0.000225356,0,0
0.4450,0.4500,0.00094009,0.000664744,0,0,nan
